sequence_id	seq_length	orf_start	orf_end	analysis	signature_accession	signature_description	start	end	e-value	interpro_accession	interpro_description	accession
SRR16151768_cap3_Contig-1	103	3318	3626	Pfam	PF07380	Pneumovirus M2 protein	14	102	5.3E-35	IPR009969	Pneumovirus M2-2	orf747
SRR13364363_cap3_Contig-11	88	1187	1450	MobiDBLite	mobidb-lite	consensus disorder prediction	42	77	-	-	-	orf3029
SRR13364363_cap3_Contig-11	88	1187	1450	MobiDBLite	mobidb-lite	consensus disorder prediction	42	88	-	-	-	orf3029
SRR19431078_cap3_Contig-1	569	3559	5265	SUPERFAMILY	SSF161008	Viral glycoprotein ectodomain-like	77	373	3.4E-9	-	-	orf2200
SRR19431078_cap3_Contig-1	618	1719	3572	Gene3D	G3DSA:2.30.29.130	-	202	286	1.3E-9	-	-	orf2188
SRR19431078_cap3_Contig-1	618	1719	3572	Coils	Coil	Coil	618	618	-	-	-	orf2188
SRR19431078_cap3_Contig-1	618	1719	3572	Gene3D	G3DSA:6.10.140.740	-	292	357	2.8E-6	-	-	orf2188
SRR19431078_cap3_Contig-1	618	1719	3572	SUPERFAMILY	SSF161008	Viral glycoprotein ectodomain-like	27	383	1.44E-70	-	-	orf2188
SRR19431078_cap3_Contig-1	618	1719	3572	Pfam	PF00974	Rhabdovirus spike glycoprotein	12	358	1.4E-34	IPR001903	Rhabdovirus  glycoprotein	orf2188
SRR18779479_cap3_Contig-1	311	120	1052	MobiDBLite	mobidb-lite	consensus disorder prediction	255	311	-	-	-	orf276
SRR18779479_cap3_Contig-1	311	120	1052	Pfam	PF16504	Putative virion membrane protein of plant and insect virus	43	192	1.1E-27	IPR032441	Putative virion membrane protein	orf276
SRR18779479_cap3_Contig-1	311	120	1052	MobiDBLite	mobidb-lite	consensus disorder prediction	296	311	-	-	-	orf276
SRR16151768_cap3_Contig-1	128	232	615	MobiDBLite	mobidb-lite	consensus disorder prediction	69	97	-	-	-	orf717
SRR16151768_cap3_Contig-1	128	232	615	MobiDBLite	mobidb-lite	consensus disorder prediction	106	128	-	-	-	orf717
SRR16151768_cap3_Contig-1	128	232	615	MobiDBLite	mobidb-lite	consensus disorder prediction	1	47	-	-	-	orf717
SRR16151768_cap3_Contig-1	128	232	615	MobiDBLite	mobidb-lite	consensus disorder prediction	59	128	-	-	-	orf717
SRR12430148_cap3_Contig-1	276	2	829	MobiDBLite	mobidb-lite	consensus disorder prediction	186	231	-	-	-	orf1718
SRR12430148_cap3_Contig-1	276	2	829	Pfam	PF00973	Paramyxovirus nucleocapsid protein	2	147	2.2E-50	IPR002021	Paramyxovirus nucleocapsid protein	orf1718
SRR19431078_cap3_Contig-1	241	988	1710	Pfam	PF06326	Vesiculovirus matrix protein	59	235	1.2E-28	IPR009397	Vesiculovirus matrix	orf2171
SRR17345012_cap3_Contig-6	386	4990	6147	Gene3D	G3DSA:2.60.120.20	-	138	328	9.3E-74	IPR029053	Viral coat protein subunit	orf351
SRR17345012_cap3_Contig-6	386	4990	6147	SUPERFAMILY	SSF88633	Positive stranded ssRNA viruses	156	334	5.23E-6	-	-	orf351
SRR17345012_cap3_Contig-6	386	4990	6147	Pfam	PF03014	Structural protein 2	80	386	7.0E-112	IPR004261	Hepatitis E virus structural protein 2	orf351
SRR17345012_cap3_Contig-6	386	4990	6147	MobiDBLite	mobidb-lite	consensus disorder prediction	33	53	-	-	-	orf351
SRR17345012_cap3_Contig-6	386	4990	6147	MobiDBLite	mobidb-lite	consensus disorder prediction	94	108	-	-	-	orf351
SRR17345012_cap3_Contig-6	386	4990	6147	MobiDBLite	mobidb-lite	consensus disorder prediction	74	136	-	-	-	orf351
SRR17345012_cap3_Contig-6	386	4990	6147	FunFam	G3DSA:2.60.120.20:FF:000010	Secreted protein ORF2	138	328	2.4E-132	-	-	orf351
SRR17345012_cap3_Contig-6	386	4990	6147	Gene3D	G3DSA:2.40.30.190	-	329	386	1.2E-23	-	-	orf351
SRR16151768_cap3_Contig-1	254	18	779	MobiDBLite	mobidb-lite	consensus disorder prediction	81	115	-	-	-	orf718
SRR16151768_cap3_Contig-1	254	18	779	MobiDBLite	mobidb-lite	consensus disorder prediction	81	117	-	-	-	orf718
SRR16151768_cap3_Contig-1	254	18	779	MobiDBLite	mobidb-lite	consensus disorder prediction	151	254	-	-	-	orf718
SRR16151768_cap3_Contig-1	254	18	779	MobiDBLite	mobidb-lite	consensus disorder prediction	177	244	-	-	-	orf718
SRR16151768_cap3_Contig-1	254	18	779	Pfam	PF00802	Pneumovirus attachment glycoprotein G	17	225	4.3E-81	IPR000925	Major surface glycoprotein G	orf718
SRR14579882_cap3_Contig-1	229	24687	25373	Hamap	MF_04201	Membrane protein [M].	4	229	44.212975	IPR042551	M matrix/glycoprotein, alphacoronavirus	orf3266
SRR14579882_cap3_Contig-1	229	24687	25373	Pfam	PF01635	Coronavirus M matrix/glycoprotein	17	218	6.2E-81	IPR002574	M matrix/glycoprotein, coronavirus	orf3266
SRR14579882_cap3_Contig-1	229	24687	25373	CDD	cd21564	alphaCoV_M	7	224	5.19782E-141	IPR042551	M matrix/glycoprotein, alphacoronavirus	orf3266
SRR14579882_cap3_Contig-1	229	24687	25373	ProSiteProfiles	PS51927	Coronavirus membrane (Cov-M) protein profile.	4	229	72.219002	IPR002574	M matrix/glycoprotein, coronavirus	orf3266
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21665	alphaCoV_Nsp5_Mpro	2785	3080	0.0	IPR044309	Non-structural protein 5, alphacoronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21558	alphaCoV-Nsp6	3069	3362	1.35453E-135	IPR044369	Non-structural protein 6, alphacoronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:2.40.10.10	-	2797	2881	2.0E-85	IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21712	TM_Y_alphaCoV_Nsp3_C	1803	2302	0.0	-	-	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51950	Coronavirus RNA-dependent RNA polymerase (RdRp) Nsp8 cofactor domain profile.	3446	3640	72.606583	IPR014829	Non-structural protein NSP8, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:1.10.8.370	nsp7 replicase	3358	3443	9.5E-35	IPR037204	Non-structural protein NSP7 superfamily, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF19218	Coronavirus replicase NSP3, C-terminal	1840	2289	4.2E-183	IPR043611	Coronavirus replicase NSP3, C-terminal	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21473	cv_Nsp4_TM	2313	2679	2.57656E-152	IPR043612	Non-structural protein NSP4, N-terminal, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51949	Coronavirus RNA-dependent RNA polymerase (RdRp) Nsp7 cofactor domain profile.	3363	3445	32.103954	IPR014828	Non-structural protein NSP7, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	SUPERFAMILY	SSF140367	Coronavirus NSP7-like	3363	3445	3.79E-34	IPR037204	Non-structural protein NSP7 superfamily, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21826	alphaCoV_Nsp7	3363	3445	8.09071E-55	-	-	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	SMART	SM00506	YBR022w_8	1098	1223	4.2E-13	IPR002589	Macro domain	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:2.40.10.250	Replicase NSP9	3639	3748	6.9E-44	IPR036499	Non-structural protein NSP9 superfamily, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF01661	Macro domain	1118	1221	7.4E-9	IPR002589	Macro domain	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF09401	Coronavirus RNA synthesis protein NSP10	3757	3878	1.2E-60	IPR018995	RNA synthesis protein NSP10, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:2.40.10.10	-	2783	2974	2.0E-85	IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21557	Macro_X_Nsp3-like	1114	1238	6.69163E-49	IPR044371	Non-structural protein 3, X-domain-like	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51442	Coronavirus main protease (M-pro) domain profile.	2783	3084	147.891769	IPR008740	Peptidase C30, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51944	Coronavirus Nsp3d Ubl domain profile.	1419	1474	14.586524	IPR044353	NSP3, second ubiquitin-like (Ubl) domain, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	SUPERFAMILY	SSF52949	Macro domain-like	1096	1246	1.41E-25	IPR043472	Macro domain-like	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21731	alphaCoV_PLPro	1424	1711	1.5254E-127	-	-	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	SUPERFAMILY	SSF144246	Coronavirus NSP10-like	3754	3875	7.45E-54	IPR036333	RNA synthesis protein NSP10 superfamily, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF08710	Coronavirus replicase NSP9	3641	3748	6.9E-41	IPR014822	Non-structural protein NSP9, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF08715	Coronavirus papain-like peptidase	1422	1715	1.4E-52	IPR013016	Peptidase C16, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF08715	Coronavirus papain-like peptidase	866	1043	2.0E-15	IPR013016	Peptidase C16, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF16348	Coronavirus replicase NSP4, C-terminal	2687	2782	1.3E-40	IPR032505	Non-structural protein NSP4, C-terminal, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:1.10.8.1190	-	1478	1587	2.1E-27	IPR043178	Papain-like protease, thumb domain superfamily, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:1.10.8.1190	-	857	946	3.8E-21	IPR043178	Papain-like protease, thumb domain superfamily, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51946	Coronavirus Nsp4 C-terminal (Nsp4C) domain profile.	2687	2782	41.273003	IPR032505	Non-structural protein NSP4, C-terminal, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51952	Coronavirus (CoV) ExoN/MTase coactivator domain profile.	3749	3887	61.772106	IPR018995	RNA synthesis protein NSP10, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	SUPERFAMILY	SSF101816	Replicase NSP9	3643	3748	2.22E-41	IPR036499	Non-structural protein NSP9 superfamily, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:3.30.70.3540	Nsp8 replicase, head domain	3546	3638	3.0E-34	IPR037230	Non-structural protein NSP8 superfamily, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF19217	Coronavirus replicase NSP4, N-terminal	2333	2664	3.8E-121	IPR043612	Non-structural protein NSP4, N-terminal, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	SUPERFAMILY	SSF143076	Coronavirus NSP8-like	3483	3636	9.68E-67	IPR037230	Non-structural protein NSP8 superfamily, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21901	alpha_betaCoV_Nsp10	3749	3878	3.15256E-93	-	-	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51154	Macro domain profile.	1086	1253	13.041008	IPR002589	Macro domain	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:6.10.140.2090	-	3444	3544	1.0E-44	-	-	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21897	alphaCoV_Nsp9	3641	3748	7.04933E-81	-	-	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21514	alphaCoV_Nsp2_HCoV-229E-like	18	543	5.8755E-154	IPR044385	Nonstructural protein 2, HCoV-229E-like	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:1.10.1840.10	main proteinase (3clpro) structure, domain 3	2979	3087	3.7E-41	IPR043477	Peptidase C30, domain 3, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51943	Coronavirus Nsp3a Ubl domain profile.	716	813	24.853851	IPR044357	NSP3, first ubiquitin-like (Ubl) domain, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF05409	Coronavirus endopeptidase C30	2811	3095	1.2E-122	IPR008740	Peptidase C30, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF19211	Coronavirus replicase NSP2, N-terminal	22	138	5.7E-35	IPR043615	Nonstructural protein 2, N-terminal domain, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	SUPERFAMILY	SSF51126	Pectin lyase-like	1966	2082	7.53E-7	IPR011050	Pectin lyase fold/virulence factor	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51124	Peptidase family C16 domain profile.	850	1096	53.334438	IPR013016	Peptidase C16, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF08717	Coronavirus replicase NSP8	3446	3636	3.2E-84	IPR014829	Non-structural protein NSP8, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51951	Coronavirus Nsp9 single-stranded RNA (ssRNA)-binding domain profile.	3641	3748	48.233337	IPR014822	Non-structural protein NSP9, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	CDD	cd21830	alphaCoV_Nsp8	3446	3640	6.64891E-135	-	-	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	ProSiteProfiles	PS51124	Peptidase family C16 domain profile.	1481	1741	49.204662	IPR013016	Peptidase C16, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF19213	Coronavirus replicase NSP6	3109	3362	2.3E-86	IPR043610	Non-structural protein 6, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF08716	Coronavirus replicase NSP7	3363	3445	3.2E-34	IPR014828	Non-structural protein NSP7, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:3.40.220.10	Leucine Aminopeptidase, subunit E, domain 1	1084	1253	5.7E-32	IPR043472	Macro domain-like	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	SUPERFAMILY	SSF50494	Trypsin-like serine proteases	2783	3081	2.02E-138	IPR009003	Peptidase S1, PA clan	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF19212	Coronavirus replicase NSP2, C-terminal	261	415	3.0E-35	IPR043613	Non-structural protein 2, C-terminal domain, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Pfam	PF19212	Coronavirus replicase NSP2, C-terminal	562	716	3.0E-30	IPR043613	Non-structural protein 2, C-terminal domain, coronavirus	orf3149
SRR14579882_cap3_Contig-1	3900	3	11702	Gene3D	G3DSA:1.10.150.420	-	2686	2781	2.3E-38	IPR038123	Non-structural protein NSP4, C-terminal superfamily, coronavirus	orf3149
SRR17345012_cap3_Contig-6	132	4952	5347	Pfam	PF02444	Hepatitis E virus ORF-2 (Putative capsid protein)	21	132	1.4E-56	IPR003384	Hepatitis E virus Orf2, capsid	orf340
SRR14579882_cap3_Contig-1	224	23804	24475	Pfam	PF03053	ORF3b coronavirus protein	9	218	5.2E-63	IPR004293	Coronavirus Orf3a/b	orf3253
SRR14579882_cap3_Contig-1	224	23804	24475	ProSiteProfiles	PS51966	Coronavirus (CoV) 3a-like viroporin trans-membrane (TM) domain profile.	34	124	15.464089	IPR046445	3a-like viroporin, transmembrane domain, alpha/betacoronavirus	orf3253
SRR14579882_cap3_Contig-1	224	23804	24475	ProSiteProfiles	PS51967	Coronavirus (CoV) 3a-like viroporin cytosolic (CD) domain profile.	128	203	28.247364	IPR046446	3a-like viroporin, cytosolic domain, alpha/betacoronavirus	orf3253
SRR12430148_cap3_Contig-1	346	2557	3594	Gene3D	G3DSA:2.70.20.50	-	19	186	1.2E-42	IPR042540	Viral matrix protein, N-terminal domain	orf1741
SRR12430148_cap3_Contig-1	346	2557	3594	Gene3D	G3DSA:2.70.20.60	-	187	346	2.3E-51	IPR042539	Viral matrix protein, C-terminal domain	orf1741
SRR12430148_cap3_Contig-1	346	2557	3594	Pfam	PF00661	Viral matrix protein	6	343	2.9E-124	IPR000982	Viral matrix protein	orf1741
SRR18700679_cap3_Contig-1	219	12866	13522	Pfam	PF01606	Arterivirus envelope protein	2	177	2.2E-100	IPR002556	Arterivirus GP3 envelope glycoprotein	orf2646
SRR17345012_cap3_Contig-6	138	1832	2245	MobiDBLite	mobidb-lite	consensus disorder prediction	1	120	-	-	-	orf419
SRR17345012_cap3_Contig-6	138	1832	2245	MobiDBLite	mobidb-lite	consensus disorder prediction	31	57	-	-	-	orf419
SRR17345012_cap3_Contig-11	618	2716	4569	SUPERFAMILY	SSF56672	DNA/RNA polymerases	257	541	1.17E-9	IPR043502	DNA/RNA polymerase superfamily	orf503
SRR17345012_cap3_Contig-11	618	2716	4569	Pfam	PF03431	RNA replicase, beta-chain	256	477	9.6E-45	IPR005093	RNA-directed RNA polymerase beta-chain	orf503
SRR17345012_cap3_Contig-11	618	2716	4569	ProSiteProfiles	PS50522	RdRp of RNA-containing bacteriophages catalytic domain profile.	317	451	21.242947	IPR007096	RNA-directed RNA polymerase, catalytic domain,  bacteriophage	orf503
SRR15647801_cap3_Contig-1	3907	338	12058	Gene3D	G3DSA:3.90.730.10	-	277	443	2.7E-79	IPR036430	Ribonuclease T2-like superfamily	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	Pfam	PF00998	Viral RNA dependent RNA polymerase	3467	3693	2.1E-24	IPR002166	RNA dependent RNA polymerase, hepatitis C virus	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	Pfam	PF00271	Helicase conserved C-terminal domain	1990	2106	1.4E-7	IPR001650	Helicase, C-terminal	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	SUPERFAMILY	SSF56672	DNA/RNA polymerases	3282	3864	1.73E-122	IPR043502	DNA/RNA polymerase superfamily	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	MobiDBLite	mobidb-lite	consensus disorder prediction	183	216	-	-	-	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	PANTHER	PTHR18934	ATP-DEPENDENT RNA HELICASE	1820	2130	6.5E-22	-	-	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	SUPERFAMILY	SSF55895	Ribonuclease Rh-like	281	423	3.4E-11	IPR036430	Ribonuclease T2-like superfamily	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	SMART	SM00490	helicmild6	2008	2107	1.7E-9	IPR001650	Helicase, C-terminal	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	ProSiteProfiles	PS51194	Superfamilies 1 and 2 helicase C-terminal domain profile.	1980	2150	10.757899	IPR001650	Helicase, C-terminal	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	Gene3D	G3DSA:3.40.50.300	-	1809	1970	2.0E-41	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	ProSiteProfiles	PS51535	Pestivirus NS3 protease (NS3pro) domain profile.	1597	1770	140.651535	IPR000280	Pestivirus NS3, peptidase S31	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	Gene3D	G3DSA:3.30.70.270	-	3501	3572	4.0E-23	IPR043128	Reverse transcriptase/Diguanylate cyclase domain	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	Gene3D	G3DSA:3.30.70.270	-	3598	3687	3.6E-35	IPR043128	Reverse transcriptase/Diguanylate cyclase domain	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	Pfam	PF16329	Pestivirus envelope glycoprotein E2	703	1071	1.9E-168	IPR032521	Pestivirus envelope glycoprotein E2	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	ProSitePatterns	PS00531	Ribonuclease T2 family histidine active site 2.	349	360	-	IPR033130	Ribonuclease T2, His active site 2	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	FunFam	G3DSA:3.40.50.300:FF:001125	Genome polyprotein	1972	2121	1.6E-97	-	-	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	Pfam	PF07652	Flavivirus DEAD domain	1814	1954	2.2E-9	IPR011492	DEAD box, Flavivirus	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	1819	2113	1.32E-37	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	Gene3D	G3DSA:2.30.140.40	Pestivirus Npro endopeptidase C53, interaction domain	109	165	2.5E-32	IPR042542	Peptidase C53, pestivirus Npro, interaction domain	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	SMART	SM00487	ultradead3	1784	1984	1.3E-12	IPR014001	Helicase superfamily 1/2, ATP-binding domain	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	ProSiteProfiles	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	3526	3649	15.883014	IPR007094	RNA-directed RNA polymerase,  catalytic domain	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	CDD	cd17931	DEXHc_viral_Ns3	1815	1966	1.7346E-58	-	-	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	Pfam	PF12387	Pestivirus NS2 peptidase	1330	1529	3.3E-92	IPR022120	Pestivirus nonstructural protein 2	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	ProSiteProfiles	PS51692	Pestivirus nonstructural protein 2 (NS2) protease domain profile.	1448	1596	75.691261	IPR030399	Pestivirus NS2, peptidase C74	orf1494
SRR15647801_cap3_Contig-1	3907	338	12058	ProSiteProfiles	PS51876	Pestivirus N-terminal protease Npro domain profile.	10	177	100.194443	IPR008751	Peptidase C53, pestivirus Npro	orf1494
