sequence_id	seq_length	orf_start	orf_end	analysis	signature_accession	signature_description	start	end	e-value	interpro_accession	interpro_description	accession
SRR12430148_cap3_Contig-1	2214	10967	17608	Pfam	PF12803	mRNA (guanine-7-)methyltransferase (G-7-MTase)	1513	1822	2.9E-74	IPR024352	RNA-dependent RNA polymerase L methyltransferase domain, paramyxovirus	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	Coils	Coil	Coil	61	81	-	-	-	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	ProSiteProfiles	PS51590	Mononegavirus L protein 2'-O-ribose methyltransferase domain profile.	1774	1981	37.847412	IPR025786	Mononegavirus L protein 2-O-ribose methyltransferase	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	Pfam	PF14318	Mononegavirales mRNA-capping region V	1151	1394	1.3E-77	IPR026890	Mononegavirales mRNA-capping domain V	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	Pfam	PF00946	Mononegavirales RNA dependent RNA polymerase	28	1135	0.0	IPR014023	Mononegavirales RNA-directed RNA polymerase catalytic domain	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	ProSiteProfiles	PS50526	RdRp of negative ssRNA viruses with non-segmented genomes catalytic domain profile.	675	859	66.800423	IPR014023	Mononegavirales RNA-directed RNA polymerase catalytic domain	orf1849
SRR12430148_cap3_Contig-1	2214	10967	17608	TIGRFAM	TIGR04198	paramyx_RNAcap: mRNA capping enzyme	1253	2205	4.2E-197	IPR039736	RNA-directed RNA polymerase L, C-terminal	orf1849
SRR16151768_cap3_Contig-1	580	841	2580	Gene3D	G3DSA:6.20.370.50	-	32	50	4.9E-14	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	FunFam	G3DSA:1.10.287.2480:FF:000002	Fusion glycoprotein F0	122	246	1.7E-78	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Coils	Coil	Coil	82	116	-	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	FunFam	G3DSA:1.10.287.2480:FF:000001	Fusion glycoprotein F0	397	523	1.1E-83	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Pfam	PF00523	Fusion glycoprotein F0	36	547	2.7E-147	IPR000776	Precursor fusion glycoprotein F0, Paramyxoviridae	orf735
SRR16151768_cap3_Contig-1	580	841	2580	SUPERFAMILY	SSF58069	Virus ectodomain	419	524	9.23E-29	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	SUPERFAMILY	SSF58069	Virus ectodomain	95	239	2.48E-35	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Gene3D	G3DSA:6.10.250.1160	-	72	115	4.0E-29	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Gene3D	G3DSA:1.10.287.2480	-	126	246	5.0E-36	-	-	orf735
SRR16151768_cap3_Contig-1	580	841	2580	Gene3D	G3DSA:1.10.287.2480	-	399	523	5.6E-35	-	-	orf735
SRR18700679_cap3_Contig-1	214	13811	14452	Pfam	PF00951	Arterivirus GL envelope glycoprotein	42	211	6.3E-74	IPR001332	Arterivirus GP5 envelope glycoprotein	orf2661
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.40.50.150	Vaccinia Virus protein VP39	2379	2679	4.0E-136	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	PANTHER	PTHR43788	DNA2/NAM7 HELICASE FAMILY MEMBER	1199	1512	1.8E-30	-	-	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	SUPERFAMILY	SSF142877	EndoU-like	2223	2374	6.47E-60	IPR037227	Endoribonuclease EndoU-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21723	alphaCoV_Nsp13-helicase	1176	1515	0.0	-	-	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21161	NendoU_cv_Nsp15-like	2226	2377	1.78956E-85	IPR044401	NSP15, NendoU domain, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	SUPERFAMILY	SSF56672	DNA/RNA polymerases	459	916	1.68E-50	IPR043502	DNA/RNA polymerase superfamily	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd20762	capping_2-OMTase_Nidovirales	2421	2613	3.37339E-52	IPR009461	Non-structural protein NSP16, coronavirus-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF06471	Coronavirus proofreading exoribonuclease	1526	2035	6.1E-265	IPR009466	Non-structural protein 14, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF19215	Coronavirus replicase NSP15, uridylate-specific endoribonuclease	2224	2377	1.1E-67	IPR043609	NendoU domain, nidovirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF19216	Coronavirus replicase NSP15, middle domain	2102	2217	4.5E-49	IPR043608	Nonstructural protein 15, middle domain, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21171	NTD_alpha_betaCoV_Nsp15-like	2041	2101	9.86906E-39	IPR044330	Nonstructural protein 15, N-terminal domain, alpha/beta-coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51657	(+)RNA virus helicase core domain profile.	1173	1532	25.651554	IPR027351	(+) RNA virus helicase core domain	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51960	Coronavirus (CoV) Nsp15 N-terminal oligomerization domain profile.	2041	2101	31.37244	IPR043606	Coronavirus replicase NSP15, N-terminal oligomerization	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.40.50.11580	-	2104	2221	6.1E-47	IPR043174	Non-structural protein NSP15, middle domain superfamily	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21409	1B_cv_Nsp13-like	1074	1153	1.51318E-47	IPR044343	Nonstructural protein 13, 1B domain, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF00680	Viral RNA-dependent RNA polymerase	527	763	1.8E-10	IPR001205	RNA-directed RNA polymerase,  C-terminal domain	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21660	alphaCoV_Nsp14	1527	2036	0.0	IPR044313	Nonstructural protein 14, alphacoronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21588	alphaCoV_RdRp	4	924	0.0	IPR044356	RNA-dependent RNA polymerase, alphacoronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF06460	Coronavirus 2'-O-methyltransferase	2380	2678	2.0E-160	IPR009461	Non-structural protein NSP16, coronavirus-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF06478	Coronavirus RNA-dependent RNA polymerase, N-terminal	10	358	9.2E-182	IPR009469	RNA polymerase, N-terminal, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.30.160.820	-	2039	2103	3.6E-30	IPR042515	Non-structural protein NSP15,  N-terminal domain superfamily, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51953	Nidovirus 3'-5' exoribonuclease (ExoN) domain profile.	1594	1808	60.623867	IPR046436	Nidovirus 3'-5' exoribonuclease domain	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21689	stalk_CoV_Nsp13-like	1023	1070	4.79038E-29	-	-	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.40.50.300	-	1367	1526	3.0E-16	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51653	Coronaviridae zinc-binding (CV ZBD) domain profile.	925	1008	34.386169	IPR027352	Nonstructural protein 13, zinc-binding domain, coronavirus-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51948	Coronavirus Nsp12 RNA-dependent RNA polymerase (RdRp) domain profile.	357	924	313.959961	IPR046441	NSP12 RNA-dependent RNA polymerase, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Gene3D	G3DSA:3.40.50.300	-	1154	1340	7.6E-18	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	FunFam	G3DSA:3.40.50.300:FF:001105	Orf1ab polyprotein	1367	1525	7.7E-86	-	-	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21401	ZBD_cv_Nsp13-like	925	1019	2.84894E-57	IPR027352	Nonstructural protein 13, zinc-binding domain, coronavirus-like	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF19219	Coronavirus replicase NSP15, N-terminal oligomerisation	2041	2101	2.0E-31	IPR043606	Coronavirus replicase NSP15, N-terminal oligomerization	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51955	Nidovirus 2'-O-methyltransferase (2'-O-MTase) domain profile.	2380	2676	120.569244	IPR046438	Nidovirus 2-O-methyltransferase	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51961	Arterivirus Nsp11 N-terminal/coronavirus NSP15 middle (AV-Nsp11N/CoV-Nsp15M) domain profile.	2102	2219	43.404602	IPR046440	Arterivirus Nsp11 N-terminal/Coronavirus NSP15 middle domain	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF13087	AAA domain	1359	1500	7.9E-8	IPR041679	DNA2/NAM7 helicase-like, C-terminal	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	SUPERFAMILY	SSF53335	S-adenosyl-L-methionine-dependent methyltransferases	2041	2231	8.06E-76	IPR029063	S-adenosyl-L-methionine-dependent methyltransferase superfamily	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	CDD	cd21167	M_alpha_beta_cv_Nsp15-like	2105	2228	2.93534E-61	IPR044322	Nonstructural protein 15, middle domain, alpha/betacoronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51958	Nidoviral uridylate-specific endoribonuclease (NendoU) domain profile.	2236	2376	66.531876	IPR043609	NendoU domain, nidovirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51954	Coronavirus (CoV) guanine-N7-methyltransferase (N7-MTase) domain profile.	1817	2038	98.906837	IPR046435	NSP14, guanine-N7-methyltransferase domain, coronavirus	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	1200	1505	3.16E-27	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	Pfam	PF13604	AAA domain	1199	1332	1.8E-8	-	-	orf3211
SRR14579882_cap3_Contig-1	2679	11660	19696	ProSiteProfiles	PS51947	Nidovirus RdRp-associated nucleotidyl transferase (NiRAN) domain profile.	3	252	29.87007	IPR044863	Nidovirus  RdRp-associated nucleotidyl transferase (NiRAN) domain	orf3211
SRR12430148_cap3_Contig-1	557	4010	5680	SUPERFAMILY	SSF58069	Virus ectodomain	73	227	3.04E-43	-	-	orf1761
SRR12430148_cap3_Contig-1	557	4010	5680	Gene3D	G3DSA:1.10.287.2480	-	137	298	5.8E-45	-	-	orf1761
SRR12430148_cap3_Contig-1	557	4010	5680	Gene3D	G3DSA:6.10.10.110	-	38	115	2.7E-13	-	-	orf1761
SRR12430148_cap3_Contig-1	557	4010	5680	SUPERFAMILY	SSF69922	Head and neck region of the ectodomain of NDV fusion glycoprotein	194	458	4.18E-73	-	-	orf1761
SRR12430148_cap3_Contig-1	557	4010	5680	Gene3D	G3DSA:2.60.40.1690	Head and neck region of the ectodomain of NDV fusion glycoprotein	385	441	3.5E-17	-	-	orf1761
SRR12430148_cap3_Contig-1	557	4010	5680	Gene3D	G3DSA:2.40.490.10	Newcastle disease virus like domain	299	384	1.2E-21	-	-	orf1761
SRR12430148_cap3_Contig-1	557	4010	5680	Pfam	PF00523	Fusion glycoprotein F0	40	520	2.5E-143	IPR000776	Precursor fusion glycoprotein F0, Paramyxoviridae	orf1761
SRR18779479_cap3_Contig-1	971	4118	7030	SUPERFAMILY	SSF52540	P-loop containing nucleoside triphosphate hydrolases	97	341	1.46E-14	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf236
SRR18779479_cap3_Contig-1	971	4118	7030	ProSiteProfiles	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	720	832	14.572425	IPR007094	RNA-directed RNA polymerase,  catalytic domain	orf236
SRR18779479_cap3_Contig-1	971	4118	7030	Gene3D	G3DSA:3.40.50.300	-	246	393	4.1E-34	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf236
SRR18779479_cap3_Contig-1	971	4118	7030	Pfam	PF00978	RNA dependent RNA polymerase	522	949	6.0E-96	IPR001788	RNA-dependent RNA polymerase, C-terminal, virus	orf236
SRR18779479_cap3_Contig-1	971	4118	7030	SUPERFAMILY	SSF56672	DNA/RNA polymerases	602	924	1.73E-45	IPR043502	DNA/RNA polymerase superfamily	orf236
SRR18779479_cap3_Contig-1	971	4118	7030	Gene3D	G3DSA:3.40.50.300	-	95	235	5.3E-29	IPR027417	P-loop containing nucleoside triphosphate hydrolase	orf236
SRR18779479_cap3_Contig-1	971	4118	7030	Pfam	PF01443	Viral (Superfamily 1) RNA helicase	101	366	8.7E-37	IPR027351	(+) RNA virus helicase core domain	orf236
SRR18779479_cap3_Contig-1	971	4118	7030	CDD	cd23254	Kitaviridae_RdRp	636	901	5.09605E-134	-	-	orf236
SRR16151768_cap3_Contig-1	2174	3669	10190	ProSiteProfiles	PS50526	RdRp of negative ssRNA viruses with non-segmented genomes catalytic domain profile.	702	886	51.526768	IPR014023	Mononegavirales RNA-directed RNA polymerase catalytic domain	orf789
SRR16151768_cap3_Contig-1	2174	3669	10190	TIGRFAM	TIGR04198	paramyx_RNAcap: mRNA capping enzyme	1294	2169	1.3E-156	IPR039736	RNA-directed RNA polymerase L, C-terminal	orf789
SRR16151768_cap3_Contig-1	2174	3669	10190	Pfam	PF00946	Mononegavirales RNA dependent RNA polymerase	25	1189	0.0	IPR014023	Mononegavirales RNA-directed RNA polymerase catalytic domain	orf789
SRR16151768_cap3_Contig-1	2174	3669	10190	ProSiteProfiles	PS51590	Mononegavirus L protein 2'-O-ribose methyltransferase domain profile.	1829	2017	49.87138	IPR025786	Mononegavirus L protein 2-O-ribose methyltransferase	orf789
SRR16151768_cap3_Contig-1	2174	3669	10190	Pfam	PF14318	Mononegavirales mRNA-capping region V	1210	1408	2.0E-15	IPR026890	Mononegavirales mRNA-capping domain V	orf789
SRR17345013_cap3_Contig-21	95	848	1132	MobiDBLite	mobidb-lite	consensus disorder prediction	76	95	-	-	-	orf1355
SRR18700679_cap3_Contig-1	2490	136	7605	Gene3D	G3DSA:4.10.80.390	-	31	81	7.8E-33	-	-	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Gene3D	G3DSA:3.90.70.70	-	278	400	3.7E-57	IPR038154	Arterivirus papain-like cysteine protease beta (PCPbeta) domain superfamily	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Gene3D	G3DSA:3.30.1330.220	Arterivirus nonstructural protein 7 alpha	2187	2316	2.0E-51	IPR038451	Arterivirus nsp7 alpha superfamily	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	MobiDBLite	mobidb-lite	consensus disorder prediction	424	444	-	-	-	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Gene3D	G3DSA:3.90.70.160	-	445	576	3.7E-42	-	-	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	ProSiteProfiles	PS51538	Arterivirus nsp2 cysteine protease (AV CP) domain profile.	445	552	42.688683	IPR008743	Arterivirus Nsp2, peptidase C33	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Coils	Coil	Coil	784	804	-	-	-	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	ProSiteProfiles	PS51493	Arterivirus nsp4 proteinase domain profile.	1797	2000	34.748623	IPR023338	Arterivirus NSP4 peptidase domain	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	ProSiteProfiles	PS51539	Arterivirus papain-like cysteine protease alpha (PCPalpha) domain profile.	86	197	59.342541	IPR008741	Arterivirus papain-like cysteine protease alpha (PCPalpha) domain	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Pfam	PF05579	Equine arteritis virus serine endopeptidase S32	1704	2001	2.1E-144	IPR008760	Equine arteritis virus peptidase S32	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Gene3D	G3DSA:2.40.10.10	-	1804	1876	1.6E-37	IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Pfam	PF16749	Arterivirus nonstructural protein 7 alpha	2188	2316	3.5E-54	IPR031932	Arterivirus nonstructural protein 7 alpha	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Pfam	PF05410	Porcine arterivirus-type cysteine proteinase alpha	74	178	4.9E-61	IPR008741	Arterivirus papain-like cysteine protease alpha (PCPalpha) domain	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Gene3D	G3DSA:2.30.31.30	Arterivirus nps1beta, nuclease domain	198	277	1.0E-42	-	-	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Pfam	PF05412	Equine arterivirus Nsp2-type cysteine proteinase	446	552	1.2E-51	IPR008743	Arterivirus Nsp2, peptidase C33	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Gene3D	G3DSA:2.40.10.10	-	1877	1950	4.5E-38	IPR043504	Peptidase S1, PA clan, chymotrypsin-like fold	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	ProSiteProfiles	PS51540	Arterivirus papain-like cysteine protease beta (PCPbeta) domain profile.	280	400	40.706421	IPR025773	Arterivirus papain-like cysteine protease beta (PCPbeta) domain	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	CDD	cd22528	av_Nsp3_ER-remodelling	1587	1644	5.52806E-22	-	-	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Pfam	PF14756	Peptidase_C33-associated domain	554	699	2.0E-92	IPR032785	Replicase polyprotein 1ab, peptidase C33-associated domain	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	MobiDBLite	mobidb-lite	consensus disorder prediction	1137	1189	-	-	-	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Gene3D	G3DSA:3.90.70.60	-	82	197	4.2E-69	IPR038155	Arterivirus papain-like cysteine protease alpha (PCPalpha) domain superfamily	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Pfam	PF14757	Immunogenic region of nsp2 protein of arterivirus polyprotein	930	1062	1.1E-83	IPR032855	Arterivirus polyprotein, nsp2, immunogenic region	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Pfam	PF14757	Immunogenic region of nsp2 protein of arterivirus polyprotein	821	931	2.4E-52	IPR032855	Arterivirus polyprotein, nsp2, immunogenic region	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	MobiDBLite	mobidb-lite	consensus disorder prediction	842	858	-	-	-	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Pfam	PF05411	Equine arteritis virus putative proteinase	273	399	8.9E-55	IPR025773	Arterivirus papain-like cysteine protease beta (PCPbeta) domain	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	MobiDBLite	mobidb-lite	consensus disorder prediction	828	885	-	-	-	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	Gene3D	G3DSA:3.30.40.20	-	1951	2000	3.4E-30	IPR023183	Serine protease, chymotrypsin-like serine protease, C-terminal	orf2575
SRR18700679_cap3_Contig-1	2490	136	7605	SUPERFAMILY	SSF50494	Trypsin-like serine proteases	1807	1970	1.35E-16	IPR009003	Peptidase S1, PA clan	orf2575
SRR13364363_cap3_Contig-11	508	1	1524	ProSiteProfiles	PS50507	RdRp of positive ssRNA viruses catalytic domain profile.	239	355	8.726782	IPR007094	RNA-directed RNA polymerase,  catalytic domain	orf3051
SRR13364363_cap3_Contig-11	508	1	1524	SUPERFAMILY	SSF56672	DNA/RNA polymerases	82	420	1.29E-49	IPR043502	DNA/RNA polymerase superfamily	orf3051
SRR13364363_cap3_Contig-11	508	1	1524	Pfam	PF02123	Viral RNA-directed RNA-polymerase	27	407	8.9E-84	IPR001795	RNA-directed RNA polymerase, luteovirus	orf3051
SRR14579882_cap3_Contig-1	369	25372	26478	CDD	cd21595	CoV_N-CTD	285	368	6.93371E-45	IPR044344	Nucleocapsid (N) protein, C-terminal domain, coronavirus	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	ProSiteProfiles	PS51929	Coronavirus nucleocapsid (CoV N) protein C-terminal (CTD) domain profile.	263	369	57.000198	IPR044344	Nucleocapsid (N) protein, C-terminal domain, coronavirus	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	CDD	cd21554	CoV_N-NTD	21	141	1.38819E-55	IPR044345	Nucleocapsid (N) protein, N-terminal domain,  coronavirus	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	MobiDBLite	mobidb-lite	consensus disorder prediction	130	220	-	-	-	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	SUPERFAMILY	SSF110304	Coronavirus RNA-binding domain	14	142	1.14E-44	IPR037195	Nucleocapsid protein, N-terminal	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	ProSiteProfiles	PS51928	Coronavirus nucleocapsid (CoV N) protein N-terminal (NTD) domain profile.	21	143	64.481819	IPR044345	Nucleocapsid (N) protein, N-terminal domain,  coronavirus	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	MobiDBLite	mobidb-lite	consensus disorder prediction	115	280	-	-	-	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	MobiDBLite	mobidb-lite	consensus disorder prediction	240	266	-	-	-	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	Pfam	PF00937	Coronavirus nucleocapsid	13	179	3.8E-67	IPR001218	Nucleocapsid protein, coronavirus	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	Pfam	PF00937	Coronavirus nucleocapsid	183	369	7.0E-56	IPR001218	Nucleocapsid protein, coronavirus	orf3272
SRR14579882_cap3_Contig-1	369	25372	26478	SUPERFAMILY	SSF103068	Nucleocapsid protein dimerization domain	268	369	5.89E-36	IPR037179	Nucleocapsid protein, C-terminal	orf3272
SRR17345012_cap3_Contig-13	490	238	1707	Pfam	PF03863	Phage maturation protein	354	381	5.2E-6	IPR005563	Assembly protein	orf604
